Ano,Mês,Gasolina,Gasóleo
2010,1,"23,1","22,45"
2010,2,"23,1","22,45"
2010,3,"23,1","22,45"
2010,4,"26,57","24,7"
2010,5,"31,09","28,16"
2010,6,"37,02","30,98"
2010,7,"37,02","30,98"
2010,8,40,"30,98"
2010,9,40,"30,98"
2010,10,40,"30,98"
2010,11,40,"30,98"
2010,12,40,"30,98"
2011,1,40,"30,98"
2011,2,40,"30,98"
2011,3,40,"30,98"
2011,4,44,"34,08"
2011,5,44,"34,08"
2011,6,44,"34,08"
2011,7,"47,52","36,81"
2011,8,"47,52","36,81"
2011,9,"47,52","36,81"
2011,10,"47,52","36,81"
2011,11,"47,52","36,81"
2011,12,"47,52","36,81"
2012,1,"47,52","36,81"
2012,2,"47,52","36,81"
2012,3,"47,52","36,81"
2012,4,"47,52","36,81"
2012,5,"47,52","36,81"
2012,6,"47,52","36,81"
2012,7,"47,52","36,81"
2012,8,"47,52","36,81"
2012,9,"47,52","36,81"
2012,10,"47,52","36,81"
2012,11,"47,52","36,81"
2012,12,"47,52","36,81"
2013,1,"47,52","36,81"
2013,2,"47,52","36,81"
2013,3,"47,52","36,81"
2013,4,"47,52","36,81"
2013,5,"47,52","36,81"
2013,6,"47,52","36,81"
2013,7,"47,52","36,81"
2013,8,"47,52","36,81"
2013,9,"47,52","36,81"
2013,10,"47,52","36,81"
2013,11,"47,52","36,81"
2013,12,"47,52","36,81"
2014,1,"47,52","36,81"
2014,2,"47,52","36,81"
2014,3,"47,52","36,81"
2014,4,"47,52","36,81"
2014,5,"47,52","36,81"
2014,6,"47,52","36,81"
2014,7,"47,52","36,81"
2014,8,"47,52","36,81"
2014,9,"47,52","36,81"
2014,10,"47,52","36,81"
2014,11,"47,52","36,81"
2014,12,"47,52","36,81"
2015,1,"47,52","36,81"
2015,2,"47,52","36,81"
2015,3,"47,52","36,81"
2015,4,"47,52","36,81"
2015,5,"47,52","36,81"
2015,6,"47,52","36,81"
2015,7,"47,52","36,81"
2015,8,"47,52","36,81"
2015,9,"47,52","36,81"
2015,10,"47,52","36,81"
2015,11,"47,52","36,81"
2015,12,"47,52","36,81"
2016,1,"47,52","36,81"
2016,2,"47,52","36,81"
2016,3,"47,52","36,81"
2016,4,"47,52","36,81"
2016,5,"47,52","36,81"
2016,6,"47,52","36,81"
2016,7,"47,52","36,81"
2016,8,"47,52","36,81"
2016,9,"47,52","36,81"
2016,10,"50,02","45,83"
2016,11,"50,02","45,83"
2016,12,"50,02","45,83"
2017,1,"50,02","45,83"
2017,2,"50,02","45,83"
2017,3,"56,06","51,89"
2017,4,"56,06","51,89"
2017,5,"56,06","51,89"
2017,6,"57,89","50,48"
2017,7,"56,59","50,48"
2017,8,"57,68","53,38"
2017,9,"57,58","53,38"
2017,10,"59,52","53,38"
2017,11,"62,72","56,43"
2017,12,"61,12","56,43"
2018,1,"62,06","56,43"
2018,2,"62,06","56,43"
2018,3,"65,01","61,16"
2018,4,"65,01","61,16"
2018,5,"66,03","62,92"
2018,6,"66,59","62,92"
2018,7,"66,59","62,92"
2018,8,"69,53","64,66"
2018,9,"69,53","64,66"
2018,10,"69,53","64,66"
2018,11,"68,73","65,56"
2018,12,"68,73","65,56"
2019,1,"68,73","65,56"
2019,2,"68,73","65,56"
2019,3,"68,73","65,56"
2019,4,"67,07","64,55"
2019,5,"67,07","64,55"
2019,6,"67,07","64,55"
2019,7,"67,07","64,55"
2019,8,"66,49","63,51"
2019,9,"66,49","63,51"
2019,10,"66,49","63,51"
2019,11,"66,49","63,51"
2019,12,"66,49","63,51"
2020,1,"66,49","63,51"
2020,2,"66,49","63,51"
2020,3,"66,49","63,51"
2020,4,"66,49","63,51"
2020,5,"64,22","60,15"
2020,6,"64,22","58,95"
2020,7,"64,22","58,95"
2020,8,"64,22","58,95"
2020,9,"64,22","58,95"
2020,10,"64,22","58,95"
2020,11,"62,5","57,45"
2020,12,"62,5","57,45"
2021,1,"62,5","57,45"
2021,2,"62,5","57,45"
2021,3,"62,5","57,45"
2021,4,"62,5","57,45"
2021,5,"62,5","57,45"
2021,6,"62,5","57,45"
2021,7,"62,5","57,45"
2021,8,"62,5","57,45"
2021,9,"62,5","57,45"
2021,10,"69,04","61,71"
2021,11,"69,04","61,71"
2021,12,"69,04","61,71"
2022,1,"69,04","61,71"
2022,2,"69,04","61,71"
2022,3,"77,39","70,97"
2022,4,"77,39","70,97"
2022,5,"83,3","78,97"
2022,6,"86,97","87,97"
2022,7,"86,97","87,97"
2022,8,"86,97","87,97"
2022,9,"86,97","87,97"
2022,10,"86,97","87,97"
2022,11,"86,97","87,97"
2022,12,"86,97","87,97"
2023,1,"86,97","87,97"
2023,2,"86,97","87,97"
2023,3,"86,97","87,97"
2023,4,"86,97","87,97"
2023,5,"85,49","94,75"
2023,6,"85,49","94,75"
2023,7,"86,25","91,23"
2023,8,"86,25","91,23"
2023,9,"86,25","91,23"
2023,10,"86,25","91,23"
2023,11,"86,25","91,23"
2023,12,"86,25","91,23"
2024,1,"86,25","91,23"
2024,2,"86,25","91,23"
2024,3,"86,25","91,23"
2024,4,"86,25","91,23"
2024,5,"86,25","91,23"
2024,6,"86,25","91,23"
2024,7,"86,25","91,23"
2024,8,"86,25","91,23"
2024,9,"86,25","91,23"
2024,10,"86,25","91,23"
2024,11,"86,25","91,23"
2024,12,"86,25","91,23"
2025,1,"86,25","91,23"
2025,2,"85,82","86,79"
2025,3,"85,82","86,79"
2025,4,"85,82","86,79"
2025,5,"85,82","86,79"
2025,6,"83,57","79,88"
2025,7,"83,57","79,88"
2025,8,"83,57","79,88"
2025,9,"83,57","79,88"
2025,10,"83,57","79,88"
2025,11,"83,57","79,88"
2025,12,"83,57","79,88"
2026,1,"83,57","79,88"
2026,2,"83,57","79,88"
2026,3,"83,57","79,88"
2026,4,"83,57","79,88"
2026,5,"93,69","116,25"
